"Date(UTC)","Unique Address Total Count","Unique Address Receive Count","Unique Address Sent Count"
"01/31/2021","48757","44016","19864"
"02/01/2021","59754","54111","24023"
"02/02/2021","53079","48251","20444"
"02/03/2021","55921","50705","25031"
"02/04/2021","74232","68153","34620"
"02/05/2021","71777","61273","32213"
"02/06/2021","83208","67915","35650"
"02/07/2021","96793","65799","54008"
"02/08/2021","131825","122508","66449"
"02/09/2021","139366","127927","61935"
"02/10/2021","115906","98888","53633"
"02/11/2021","97395","89245","38384"
"02/12/2021","91602","82922","37745"
"02/13/2021","92611","83970","39606"
"02/14/2021","106277","92602","50166"
"02/15/2021","108116","99789","43123"
"02/16/2021","120167","110605","50630"
"02/17/2021","134087","123280","55409"
"02/18/2021","151092","137628","64337"
"02/19/2021","201768","168895","94846"
"02/20/2021","200738","184743","93571"
"02/21/2021","174149","158932","73889"
"02/22/2021","178679","165047","71011"
"02/23/2021","148886","137155","55000"
"02/24/2021","161718","148760","62928"
"02/25/2021","157865","145570","61594"
"02/26/2021","154132","142851","59941"
"02/27/2021","152077","140418","59791"
"02/28/2021","143904","132887","53020"
"03/01/2021","175228","162416","63923"
"03/02/2021","185695","172325","75299"
"03/03/2021","186406","171163","76541"
"03/04/2021","187714","172298","76001"
"03/05/2021","170498","155331","64241"
"03/06/2021","160789","145725","56941"
"03/07/2021","171094","157535","61105"
"03/08/2021","186374","162389","72063"
"03/09/2021","200993","183369","74645"
"03/10/2021","229644","211392","85673"
"03/11/2021","220890","204030","79831"
"03/12/2021","223380","207613","75031"
"03/13/2021","208249","191392","73705"
"03/14/2021","229218","206616","91792"
"03/15/2021","240499","220188","86046"
"03/16/2021","231614","212328","86611"
"03/17/2021","231316","212690","81281"
"03/18/2021","281707","254956","111377"
"03/19/2021","256042","230235","96436"
"03/20/2021","231400","206336","92934"
"03/21/2021","246594","225734","91396"
"03/22/2021","285850","264725","99764"
"03/23/2021","263791","241216","97257"
"03/24/2021","287845","263081","113364"
"03/25/2021","294864","269485","115365"
"03/26/2021","318469","294930","110183"
"03/27/2021","267264","243950","101643"
"03/28/2021","277123","251128","107742"
"03/29/2021","302735","276378","113590"
"03/30/2021","327327","296540","128183"
"03/31/2021","369599","333643","138235"
"04/01/2021","340031","307758","135386"
"04/02/2021","388356","354014","148974"
